,amuesment_park,amusement_park_id,location,status,year_opened,number_of_coasters
0,1001 Fairyland,11130,Xiangshan,Operating,2006,2
1,12th Street Amusement,15643,Brooklyn,-,1921,-
2,1968 Hokkaido Grand Fair,18063,Minami,-,1968,-
3,1982 World's Fair,19274,Knoxville,-,1982,-
4,1. Kärntner Erlebnispark,6031,Hermagor,Operating,1993,1
5,1st of May Park,17622,Kursk,Operating,2003,-
6,21st Century Park City Expo,20953,Sanda,-,1988,-
7,29-3 Park,6264,Thanh Khê,Operating,2002,3
8,30° North Latitude Theme Park,7597,Nanchang,-,,-
9,4D Farm,18708,Cullman,Operating,2011,2
10,50 Year Park,10304,Ankara,Operating,2009,1
11,5 Dragon Keija Custom Park,10178,Zhanggong,Operating,2005,1
12,72 Tan Park,11322,Qom,-,2005,-
13,'84 Kochi Kuroshio Expo,19316,Kochi,-,1984,-
14,'87 Future Tohoku Exposition,17903,Sendai,-,1987,-
15,'88 Saitama Expo,17914,Kumagaya,-,1988,-
16,8th National Urban Greening Fair,20955,Wakamatsu,-,1991,-
17,99 Village,10300,Al Jahra,Operating,2009,2
18,Aalam Al Marah,17042,Sidon,-,2004,-
19,Aamrapaali Water Park,15892,Lucknow,Operating,2002,1
20,Aatapi Wonderland,18835,Vadodara,Operating,2018,3
21,Abha Palace Theme Park,4912,Abha,Operating,2007,2
22,Abha Shopping Festival,15825,Abha,Operating,2002,-
23,ABpark,20758,Lēdmane Parish,Operating,2017,1
24,Abtenauer Bergbahnen GmbH,12997,Abtenau,Operating,,1
25,Abu Ali Ibn Sino Parki,21727,Yangi Bozor,Operating,2004,1
26,Accoland,11164,Guwahati,Operating,2001,1
27,Ácqua Lokos,5559,Capão da Canoa,Operating,,2
28,Acrobatic Cricket Happy Valley,20006,Ningjin,Operating,2021,2
29,AcroJungle Outdoor,21870,Serres-Castet,Operating,2021,1
30,Action Zone,14780,Al Ain,Operating,2011,-
31,Acuaparque de la Caña,6687,Cali,Operating,2000,-
32,Acushnet Park,10622,New Bedford,-,1916,-
33,Adelaide Showgrounds,6269,Adelaide,Operating,,-
34,Adhamiyah Amusement Park,21031,Baghdad,-,2010,-
35,Adhari Park,6052,Khamis,Operating,2007,1
36,Adlerkurort Metro Park,9783,Sochi,Operating,2005,-
37,Admiral Vrungel,5283,Gelendzhik,-,2002,-
38,Adrenalinshow,18922,Kyrylivka,Operating,2012,1
39,Adventure Asia Park,5608,Sentosa,-,,-
40,Adventure City,4712,Anaheim,Operating,1994,2
41,Adventure City,11232,Sowayma,Operating,2009,1
42,Adventure Crossing,5091,Augusta,-,1993,-
43,Adventuredome,4550,Las Vegas,Operating,1993,2
44,Adventure Island,4836,Southend On Sea,Operating,1918,5
45,Adventure Island,5760,Rohini,Operating,2006,1
46,Adventureland,4576,Altoona,Operating,1974,7
47,Adventureland,4676,Farmingdale,Operating,1962,3
48,Adventureland,5360,Sharjah,Operating,2002,3
49,Adventure Land,5369,Addison,-,1958,-
50,Adventureland Amusement Park,5230,North Webster,-,,-
51,Adventure Landing,5821,Jacksonville Beach,Operating,1995,1
52,Adventure Ocean Oasis,13206,Labadee,Operating,2009,1
53,Adventure Park,14635,Geelong,Operating,1994,1
54,Adventure Park,20865,Ahmedabad,Operating,2019,1
55,Adventure Park Cimone,13029,Sestola,Operating,,1
56,Adventure Park USA,5968,Monrovia,Operating,2005,3
57,Adventurers Family Entertainment Center,4679,Brooklyn,Operating,1966,1
58,Adventure Wonderland,5642,Christchurch,Operating,,-
