name,coaster_id,type,design,scale,year_opened,year_closed,amusement_park,amusement_park_id,status
Super Extreme,17614,Steel,Sit Down,Family,2004,2019,1st of May Park,17622,defunct
unknown,13990,Steel,Inverted,Extreme,-,-,30° North Latitude Theme Park,7597,defunct
unknown,20956,Steel,Sit Down,Thrill,1991-09-14,1991-11-11,8th National Urban Greening Fair,20955,defunct
Kabutomushi,20954,Steel,Sit Down,Thrill,1988-04-17,1988-08-31,21st Century Park City Expo,20953,defunct
Jet 400,19275,Steel,Sit Down,Thrill,1982,1982,1982 World's Fair,19274,defunct
unknown,10305,Steel,Sit Down,Family,2009,2010,50 Year Park,10304,defunct
Jet Coaster,18064,Steel,Sit Down,,1968-06-14,1968-08-18,1968 Hokkaido Grand Fair,18063,defunct
Loop the Loop,19317,Steel,Sit Down,Extreme,1984-03-20,1984-05-13,'84 Kochi Kuroshio Expo,19316,defunct
Crazy Flying Mouse,11131,Steel,Sit Down,Thrill,2006,2018,1001 Fairyland,11130,defunct
Spinning Yacht,12673,Steel,Sit Down,Family,2006,2017,1001 Fairyland,11130,defunct
unknown,11323,Steel,Sit Down,Thrill,2010,2013,72 Tan Park,11322,defunct
Dragon Coaster,17904,Steel,Sit Down,Family,1987-07-18,1987-09-28,'87 Future Tohoku Exposition,17903,defunct
Camel Coaster,17905,Steel,Sit Down,Thrill,1987-07-18,1987-09-28,'87 Future Tohoku Exposition,17903,defunct
unknown,17043,Steel,Sit Down,Family,2013,2018,Aalam Al Marah,17042,defunct
unknown,17044,Steel,Sit Down,Thrill,2013,2019,Aalam Al Marah,17042,defunct
Virginia Reel,15644,Wood,Sit Down,Family,1921,1933,12th Street Amusement,15643,defunct
Virginia Reel,16220,Wood,Sit Down,Family,1933,1954,12th Street Amusement,15643,defunct
Roller Coaster,11165,Steel,Sit Down,Family,2001,2012,Accoland,11164,defunct
Outer Space Flying Car,15826,Steel,Sit Down,Family,2014,2022,Abha Shopping Festival,15825,defunct
Apple Tree,14781,Steel,Sit Down,Kiddie,2003,2022-06,Action Zone,14780,defunct
Camel Coaster,17915,Steel,Sit Down,Thrill,1988-03-19,1988-05-29,'88 Saitama Expo,17914,defunct
Dragon,20952,Steel,Sit Down,Family,1988-03-19,1988-05-29,'88 Saitama Expo,17914,defunct
unknown,10623,Wood,Sit Down,,1925,1938,Acushnet Park,10622,defunct
unknown,14577,Wood,Sit Down,,1916,1927,Acushnet Park,10622,defunct
Mad Mouse,4168,Wood,Sit Down,Thrill,1960,2007,Adelaide Showgrounds,6269,defunct
Roller Coaster,9784,Steel,Sit Down,Extreme,2005,2018-06-24,Adlerkurort Metro Park,9783,defunct
unknown,21029,Steel,Sit Down,Family,2011,2022,Adhamiyah Amusement Park,21031,defunct
Cobra,1988,Steel,Sit Down,Extreme,2002-07-06,2007,Admiral Vrungel,5283,defunct
Rodeo,1989,Steel,Sit Down,,2002-07-06,2007,Admiral Vrungel,5283,defunct
Tree Top Racers,573,Steel,Sit Down,Thrill,1999,2012,Adventure City,4712,defunct
