name,coaster_id,type,design,scale,opening,amusement_park,amusement_park_id,status
unknown,21236,Steel,Sit Down,,2024,4D Farm,18708,under construction
unknown,21916,Steel,Sit Down,Family,2024-10-01,Aesop's Fables,21915,under construction
unknown,19172,Steel,Sit Down,Thrill,2025,Alpincenter Bottrop,13142,under construction
unknown,22139,Steel,Sit Down,Extreme,2025,Ange Michel,6241,under construction
Cyclone,18058,Steel,Sit Down,Thrill,2024-12,Animalia,18057,under construction
Big Air Coaster,18347,Steel,Sit Down,Family,2024-12,Animalia,18057,under construction
unknown,21294,Steel,Sit Down,,2025,Aquashow Family Park,5745,under construction
unknown,18851,Steel,Sit Down,Thrill,2025,Atzmännig,21410,under construction
Serpentikha,20472,Steel,Suspended,Family,2024,Aztlán Parque Urbano,4628,under construction
Marometas,21661,Steel,Sit Down,Family,2024,Aztlán Parque Urbano,4628,under construction
Laka Laka,21662,Steel,Sit Down,Thrill,2024,Aztlán Parque Urbano,4628,under construction
Bibi and Tina,21770,Steel,Sit Down,Family,2026-03,Bibi & Tina Freizeitpark,21769,under construction
unknown,20605,Steel,Sit Down,Thrill,2025,Böhmischer Prater,10750,under construction
Bulderbaan,20876,Steel,Sit Down,Family,2025,Bommelwereld,20875,under construction
Aerozuum,22190,Steel,Suspended,Family,2024-11,Bondinhos Canela,22189,under construction
Izari's Flight,20618,Steel,Sit Down,Family,2025,BON Luxury Theme Park,20617,under construction
Speed of Light,20850,Steel,Suspended,Family,2025,BON Luxury Theme Park,20617,under construction
Tecuani Beast,20864,Steel,Sit Down,Extreme,2025,BON Luxury Theme Park,20617,under construction
Ashara: Goddess of Fire,21976,Steel,Sit Down,Thrill,2025,BON Luxury Theme Park,20617,under construction
unknown,22136,Steel,Inverted,Family,2025,BON Luxury Theme Park,20617,under construction
unknown,21467,Steel,Sit Down,Family,2024,Boonie Bears Happy Harbour,21466,under construction
unknown,21710,Steel,Sit Down,Thrill,2024,Brush Creek Falls Resort,21709,under construction
Big Bad Wolf: The Wolf’s Revenge,22111,Steel,Inverted,Family,2025,Busch Gardens Williamsburg,4548,under construction
AlpenFury,22016,Steel,Sit Down,Extreme,2025,Canada's Wonderland,4539,under construction
unknown,21186,Steel,Sit Down,Family,2023-12,Carron Dream Park,11749,under construction
unknown,21187,Steel,Sit Down,Family,2023-12,Carron Dream Park,11749,under construction
Snoopy’s Racing Railway,22011,Steel,Sit Down,Family,2025,Carowinds,4542,under construction
Siren’s Curse,22124,Steel,Sit Down,Extreme,2025,Cedar Point,4529,under construction
unknown,21843,Steel,Sit Down,Family,2024-06-01,Children's Park,19475,under construction
unknown,20941,Steel,Sit Down,Extreme,2024,China Hiin City,20940,under construction
unknown,21886,Steel,Sit Down,Family,2024,China Hiin City,20940,under construction
unknown,21887,Steel,Inverted,Family,2024,China Hiin City,20940,under construction
unknown,20995,Steel,Sit Down,Family,2024,Chimelong Qingyuan International Forest Resort,20519,under construction
Pomme,21838,Steel,Sit Down,Family,2025,Ch'ti Parc,19561,under construction
Chti Turbo,22005,Steel,Sit Down,Family,2025,Ch'ti Parc,19561,under construction
Antares,20825,Steel,Sit Down,Thrill,2025,Conny-Land,5951,under construction
Palindrome,19715,Steel,Sit Down,Extreme,2025,Cotaland,18828,under construction
Circuit Breaker,19998,Steel,Sit Down,Extreme,2025,Cotaland,18828,under construction
unknown,22241,Steel,Sit Down,Family,2025,Cotaland,18828,under construction
Spinning Coaster,21399,Steel,Sit Down,Family,2025,Didi'Land,5401,under construction
unknown,22182,Steel,Sit Down,Extreme,2025,Dream Island,14505,under construction
unknown,22183,Steel,Sit Down,Extreme,2025,Dream Island,14505,under construction
unknown,22184,Steel,Sit Down,Family,2025,Dream Island,14505,under construction
Jungle Rush,20515,Steel,Sit Down,Thrill,2024,Dreamworld,4938,under construction
unknown,21130,Steel,Sit Down,,2025,Drouwenerzand Attractiepark,5676,under construction
unknown,22054,Steel,Sit Down,Family,2025,Edelwies,13367,under construction
Speed Coaster,22101,Steel,Sit Down,Thrill,2025,Erlebnisberg Altenberg,15526,under construction
Drachenblitz,21667,Steel,Sit Down,Thrill,2025,ErlebnisBocksBerg,13160,under construction
Helios,19395,Steel,Sit Down,Extreme,2025,Fantasiana,5591,under construction
unknown,16222,Steel,Sit Down,Family,2023,Fantawild,16221,under construction
unknown,20181,Steel,Sit Down,,2023,Fantawild,16221,under construction
unknown,20398,Steel,Sit Down,Family,2024,Fantawild,20397,under construction
Mad Racers,19013,Wood,Sit Down,Thrill,2024,Fantasy Valley,17706,under construction
Magic Mouse XXL,21576,Steel,Sit Down,Thrill,2025,Fantasy Island,4812,under construction
unknown,16975,Steel,Sit Down,Family,2024,Fantawild,16974,under construction
unknown,16977,Steel,Sit Down,Extreme,2024,Fantawild,16974,under construction
unknown,19116,Steel,Sit Down,Family,2023,Fantawild,19115,under construction
